"Anio","estacion","ppt","tmax","tmin"
1970,"Asunción.Mita",1472.5,32.1542645929339,20.2539496927803
1971,"Asunción.Mita",1556,32.2887448796723,19.5491116231439
1972,"Asunción.Mita",973.4,32.9579041527623,20.8405101347176
1973,"Asunción.Mita",1577,32.1958474142345,20.3309280593958
1974,"Asunción.Mita",996.9,31.8222791858679,18.960548515105
1975,"Asunción.Mita",1399.4,31.9778494623656,20.2693471582181
1976,"Asunción.Mita",1163.9,32.1517856260042,20.5280129155852
1977,"Asunción.Mita",1024.7,32.8271844598054,20.8336168714798
1978,"Asunción.Mita",1226.6,32.6371223758321,20.7682398873528
1979,"Asunción.Mita",1173.7,32.6380747567844,21.0063754480287
1980,"Asunción.Mita",1568.8,33.4044364108268,21.0345757631937
1981,"Asunción.Mita",1472.4,32.9297791858679,20.4680171530978
1982,"Asunción.Mita",1246.3,33.2028661034306,21.1575697644649
1983,"Asunción.Mita",1285.3,34.1597958269329,20.8410208653354
1984,"Asunción.Mita",1376.2,33.314967247559,19.8157180818193
1985,"Asunción.Mita",1318.2,33.3241673067076,20.0189068100358
1986,"Asunción.Mita",901.6,33.5221370967742,20.6223214285714
1987,"Asunción.Mita",1365.4,33.6971991807476,20.2875998463902
1988,"Asunción.Mita",1373.8,32.7524796069707,20.4704140402917
1989,"Asunción.Mita",1459.9,32.4411354326677,20.4976555299539
1990,"Asunción.Mita",1141.7,33.3650390424987,20.8303622631848
1991,"Asunción.Mita",1155.2,33.4969143625192,20.9449628776242
1992,"Asunción.Mita",1041.7,33.7156881102459,20.8984495118032
1993,"Asunción.Mita",1234.8,33.6848015873016,20.9308755760369
1994,"Asunción.Mita",1304.5,33.6930062724014,21.2110349462366
1995,"Asunción.Mita",1591.9,32.901883000512,21.3144982078853
1996,"Asunción.Mita",1734.3,32.403586701273,20.8586837226548
1997,"Asunción.Mita",1145.9,33.3891794674859,21.495701484895
1998,"Asunción.Mita",1382.4,33.7955465949821,21.0651260880696
1999,"Asunción.Mita",1591,32.8357834101382,20.5876676907322
2000,"Asunción.Mita",1385.8,33.0336151279199,20.8524165739711
2001,"Asunción.Mita",1508.7,33.4836392729135,21.1509338197645
2002,"Asunción.Mita",1237.3,33.6921326164875,20.4445353302611
2003,"Asunción.Mita",1328.3,33.4788319252432,20.3154083461342
2004,"Asunción.Mita",1116.4,33.7182925472747,20.5603924113212
2005,"Asunción.Mita",1464.1,33.4151004864311,19.7584741423451
2006,"Asunción.Mita",1644.8,33.1478481822837,19.5700723246288
2007,"Asunción.Mita",1249.8,33.5159568612391,20.9571146953405
2008,"Asunción.Mita",1540.1,33.1909510567297,20.9248248053393
2009,"Asunción.Mita",1357.2,33.8777867383513,21.3847414234511
2010,"Asunción.Mita",1798.2,33.089589093702,21.1912992831541
2011,"Asunción.Mita",2037.2,33.1219796466974,21.2478789042499
2012,"Asunción.Mita",1441.2,33.3429965393647,21.2391855147695
2013,"Asunción.Mita",1641,33.6547478238607,21.3858934971838
2014,"Asunción.Mita",1254,33.8349756784434,21.4043241167435
2015,"Asunción.Mita",1207,34.3524846390169,22.0589644137225
2016,"Asunción.Mita",1038.3,34.4064633543443,21.851157458905
2017,"Asunción.Mita",1468.7,34.0372875064004,21.5334498207885
2018,"Asunción.Mita",1445.8,34.2476164874552,21.4105363543267
2019,"Asunción.Mita",1139.4,34.9512544802867,21.5744662058372
2020,"Asunción.Mita",1879,34.1807199357311,21.6533976022741
