"iso","umd_tree_cover_extent_2000__ha","area__ha"
"ABW",7.51631835594672250,18.56509766869791852
"AGO",2457477.85112521598498679,2458838.11322650886523269
"AIA",0.0,0.5842616608018664
"ARG",4412127.12485909970552836,4417359.76129030484090500
"ATG",58.84759302234264405,90.61950718745442024
"AUS",12674.76080833706528106,12750.97399164526295562
"BDI",24848.88025640734988594,24896.11901882132605828
"BEN",1870.91972175519898323,1959.51137900823046763
"BES",741.83835482846075257,760.59447421466414620
"BGD",96621.28585830870892864,101115.48521384927534869
"BHS",11265.25790703929343089,11920.23427166997937779
"BLZ",1164465.74318596750206572,1165888.95290806588555360
"BOL",40817156.01634589289746872,40833752.27469102489984822
"BRA",343229983.06632878459497434,343383393.97015785278094175
"BRN",431455.22776916036606138,431535.44002962148973330
"BTN",1605449.19991373820315746,1645544.73114511863909697
"CAF",7363125.76102472175166985,7364398.40336092114394654
"CHL",0.0,0.73168401962348088
"CHN",1736513.62674299562431069,1760102.19192936628063648
"CIV",1365239.67649175433548376,1365621.27937031626835142
"CMR",19075628.65885431395381117,19082105.99458031851571234
"COD",104580066.63212225435727520,104595276.48393490412218281
"COG",21153179.37070959160133205,21157919.47192572644102848
"COL",54763585.69937675031065277,54836889.05401388595020717
"CRI",1485835.10087979768618128,1489440.89259773309298861
"CUB",400819.12510951005165256,440563.74288677992054411
"CUW",0.30077198523437502,0.30077198523437502
"CYM",6199.19541270849520160,6849.96901884100655032
"DMA",35963.26813225063127373,36045.68994583914338516
"DOM",316879.65256832662534865,318330.10134540902204473
"ECU",10627032.03596528514590601,10652183.03265388479346262
"ETH",1890183.85911577356525062,1906097.11810496355004081
"FJI",533104.04261127532746381,534683.55123773802793762
"GAB",22669525.28197245676831003,22683205.73050730771063528
"GHA",1090290.34530116586261180,1090490.37544110783720336
"GIN",233461.10348586584639416,235943.42460212053354429
"GLP",36892.28263336232369865,37068.91164447751089427
"GMB",110.53172934183106335,668.73277407976875076
"GNB",71370.57234542772991482,81741.15329690395998962
"GNQ",2246143.71826516566889658,2249638.58477670631422403
"GRD",0.0,0.07523703303982206
"GTM",2583218.75289237373292512,2584881.04200790720138290
"GUF",7854129.36135584959253201,7854979.54190579707343811
"GUY",17293018.22510426066059875,17297898.96320214275498114
"HND",2150089.78598117438745465,2154615.20371460526665769
"HTI",8682.05454945331502753,9193.39914457901004194
"IDN",93837980.89189148069531512,93872257.80225317219596262
"IND",10185416.98953709991348983,10343833.89185083274885036
"JAM",237094.13298517842586698,238183.27249219221521896
"KEN",649579.40279354100195952,650650.98962729818045670
"KHM",4284047.08256082768895619,4312232.98173328657070416
"KNA",5844.24772902311281849,5886.23725926984042058
"LAO",8322187.68979502130428742,8368594.62681552937704068
"LBR",4429048.62732142114242501,4430075.34902448334874485
"LCA",13935.35922150013565803,13973.40430616323648295
"LKA",596014.55848895821311998,596417.44438430308427667
"LSO",1.01109124505316853,1.41549146656033001
"MAF",804.0330856480060544,808.79264453425455751
"MDG",4853676.74651555312487276,4873080.19024580769671154
"MDV",830.45546853275321564,973.58801542988919288
"MEX",9213380.71863642936243534,9267211.97830479472835800
"MMR",14035360.53024022493752917,14142251.84933995520245458
"MOZ",119683.57731065259017849,126644.99912349450845288
"MSR",1728.60788213910072029,1747.78293849750652440
"MTQ",17072.55646532235628556,17257.67813529828293760
"MWI",5236.46643938004095706,5377.17703234570727342
"MYS",15939453.85246004490026577,15947052.63467136936465878
"NGA",1903123.84285449763047036,1917978.40364867093171820
"NIC",2020207.11106102135140635,2025214.00921723927573313
"NPL",725083.75001929737404985,745415.12617106261699779
"PAN",2902228.64970507357032978,2915358.19743054522198100
"PER",69125435.45446618780332654,69170713.83945711300148874
"PHL",4585030.74952114170497852,4588541.11148874027339166
"PLW",19014.72428777297547170,19161.18556947177209633
"PNG",32595230.72163135311097389,32612948.07519965286469242
"PRI",64517.35373877850411240,64748.16663094054087965
"PRY",3481100.08285431542115692,3485706.14505671679501573
"RWA",53730.72965375790967405,53780.76488198056694305
"SEN",3480.83992479827698709,10018.54268699233366537
"SGP",844.09448072411146892,845.70961337411703257
"SLB",1992883.89802172903725422,1995725.98717918963912437
"SLE",276388.13260215450467211,276675.45052437160051854
"SLV",50573.04334131448263003,52840.74251955261087526
"SSD",83749.50427019279806198,83939.59892140285139724
"SUR",12770374.57507816123727224,12775508.64784638004362327
"SXM",255.75278477397720585,258.97531306412818465
"TCA",2806.40593211833873883,3200.90098392215643066
"TGO",1625.66387929182900793,1646.74779881147772793
"THA",5936848.61677836274037088,5971469.48758581462909956
"TLS",350.16136688879010404,350.31372175678652333
"TTO",153656.69922831122495676,153795.79127242401473309
"TWN",606711.37864300620618286,608482.12618388217094080
"TZA",732170.59312121150069174,743477.47026761192077633
"UGA",509095.17434356137320399,509358.27746505521014869
"UMI",61.3999279439790118,62.1308860512186018
"USA",199884.28652887518098321,200776.05913984631228569
"VCT",6274.50657790140900255,6528.31342471349140021
"VEN",38611292.22233797300766554,38666663.04437384818566789
"VGB",3022.79850752656128391,3120.43756102787078774
"VIR",2723.86548795140866237,2762.61814573659073743
"VNM",6731710.68388975544076764,6793046.09016653131433164
"VUT",367518.92567424176455527,371391.51524416779829796
"ZAF",125516.42733639514522584,125843.54156259502960114
"ZMB",330618.55249580513284991,330654.32048289638037498
"ZWE",7601.29361577548522807,7613.36589132309885363
