"abb","nme","nombre","units"
"df_ha","Deforestation","Deforestación","Ha"
"rsquared","R squared","R^2","%"
"gdb_perc","GDP percapita","PIB Percápita","US$"
"food_exports","Food exports","Exportación alimentos","%"
"exports_gdp","Exports GDP","Exportaciones PIB","% of GDP"
"food_infl","Food inflation","Inflación de los alimentos","%"
"pop_growth","Population growth","Crecimiento de la población","%"
"gdp_growth","GDP growth","Crecimiento del PIB","% anual"
"foreing_invest","Foreing invest","Inversión extranjera","Billion (US$)"
"tmp_change","Temperatrure change","Cambio en la temperatura","C"
